# Magic Lantern Simplified Chinese translation.
# Exact display string|translation
About Magic Lantern|关于 Magic Lantern
Quality factor (-16 = best quality). Try not to use it!|质量系数（-16 为最佳画质），尽量不要使用！
QuickReview default|快速回放默认值
Quickly toggle between two expo presets (ISO,Tv,Av,Kelvin).|在两组曝光预设（ISO、Tv、Av、色温）之间快速切换。
R EXT -40Audio|右声道 EXT -40 音频
R EXT -40Enable Beeps|右声道 EXT -40 启用蜂鸣
R multiplier|红色通道倍率
RAW EV indicator|RAW EV 指示
RAW HistoBar (MAX)|RAW 直方条（最大值）
RAW N/A, Log|RAW 不可用，对数
RAW-based (RGB)|基于 RAW（RGB）
RED channel multiplier, for custom white balance.|自定义白平衡的红色通道倍率。
RGB (Percent)|RGB（百分比）
ROM0.BIN:F0000000, ROM1.BIN:F8000000, RAM4.BIN|ROM0.BIN:F0000000，ROM1.BIN:F8000000，RAM4.BIN
Rack Focus|焦点移动
Ramp between overridden FPS and default FPS. Undercrank only.|在覆盖帧率和默认帧率间渐变，仅适用于低帧率拍摄。
Read-only.|只读。
Rectilinear|直线投影
Red / Green / Blue / Cyan / Magenta / Yellow / Global Focus / Local Focus.|红 / 绿 / 蓝 / 青 / 洋红 / 黄 / 全局对焦 / 局部对焦。
Required to load ML|加载 ML 的必要条件
SET+Erase|SET＋删除
Save ML settings to current preset directory.|将 ML 设置保存到当前预设目录。
Save metadata for each movie, e.g. MVI_1234.LOG|为每段视频保存元数据，例如 MVI_1234.LOG。
Screen orientation, position fine-tuning...|屏幕方向及位置微调等。
Screenshot after 10 seconds => VRAMx.PPM.|10 秒后截图并保存为 VRAMx.PPM。
Second game for Magic Lantern. Try it in LiveView.|Magic Lantern 的第二款游戏，请在实时取景中体验。
See http://wiki.magiclantern.fm/install for instructions. |安装说明请参阅 http://wiki.magiclantern.fm/install 。
Serial num|序列号
Set+MainDial|SET＋主拨盘
Settings about Depth of Field info displays.|景深信息显示设置。
Several helpful image actions you can trigger in PLAY mode.|可在回放模式中触发的实用图像操作。
Shoot wide-open or unscrew lens to avoid aperture flicker.|使用最大光圈拍摄或拧松镜头，以避免光圈闪烁。
Show CPU usage|显示 CPU 占用率
Show current lens name (as reported by your lens or adapter).|显示镜头或转接环报告的当前镜头名称。
Show how many stops you can push the exposure to the right.|显示曝光还能向右提升多少档。
Show memory addresses patched in Canon code or data areas.|显示佳能代码或数据区中已打补丁的内存地址。
Shows color distribution as U-V plot. For grading & WB.|以 U-V 图显示色彩分布，用于调色和白平衡。
Shutter Count|快门次数
Shutter speed range, when Canon shows 1/30-1/4000.|佳能显示 1/30–1/4000 时的快门速度范围。
Simple...|简单设置…
Simple: only consider defocus blur, ignoring diffraction effects.|简单模式：仅考虑失焦模糊，忽略衍射。
SinglePress -> 100|单按 -> 100
SinglePress -> 100%|单按 -> 100%
Size of the area on which motion shall be detected.|运动检测区域的大小。
Size of zoom box (small / medium / large / full screen).|放大框大小（小 / 中 / 大 / 全屏）。
Slightly sharper|轻微锐化
Small / Medium / Large / FullScreen.|小 / 中 / 大 / 全屏。
Small / Medium / Large.|小 / 中 / 大。
SplitScreen|分屏
Spotmeter is disabled.|点测光已禁用。
Spotmeter position: center or linked to focus box.|点测光位置：中央或跟随对焦框。
Square|方波
Standard|标准
Start recording by pressing shutter halfway. Wired remote.|半按快门开始录像，也可使用有线遥控器。
Start recording to find out the vertical resolution.|开始录像以检测垂直分辨率。
Start the intervalometer after X seconds / minutes / hours.|在指定秒、分钟或小时后启动间隔拍摄。
Start/Stop / Start only / Stop only.|开始/停止 / 仅开始 / 仅停止。
Startup key|启动按键
Startup mode|启动模式
Stop the intervalometer after taking X shots.|拍摄指定张数后停止间隔拍摄。
Stretches LiveView image vertically, for anamorphic lenses.|为变形宽银幕镜头纵向拉伸实时取景图像。
Strong edges|强边缘
Strong edges: looks for edges, works best in low light.|强边缘：检测边缘，在低照度下效果最好。
Subtle image enhancements via DIGIC register tweaks.|通过调整 DIGIC 寄存器进行细微图像增强。
Swap U-V|交换 U-V
Swaps U and V channels (red <--> blue).|交换 U 与 V 通道（红色 <--> 蓝色）。
Sync FPS with shutter speed, for long exposures in LiveView.|长曝光实时取景时，使帧率与快门速度同步。
Sync w. Shutter|与快门同步
Take a picture when subject is moving or exposure changes.|检测到主体运动或曝光变化时拍摄。
Takes a picture when the subject comes in focus. MF only.|主体合焦时自动拍摄，仅限手动对焦。
Tetris on your DSLR|在单反相机上玩俄罗斯方块
The Only Tetris for DSLRs.|专为单反相机打造的俄罗斯方块。
The camera may turn into a 1DX or it may explode.|相机可能会变成 1DX，也可能会爆炸。
The screenshot will contain BMP and YUV overlays.|截图将包含 BMP 和 YUV 叠加层。
This feature works best in LiveView.|此功能在实时取景中效果最佳。
This restores ML default settings, by deleting all CFG files.|删除所有 CFG 文件并恢复 ML 默认设置。
This works by lowering ISO => you may get pink highlights.|此功能通过降低 ISO 实现，可能产生粉红色高光。
Time indicator while recording.|录像时显示时间指示。
Timelapse Play|延时回放
Timing generator freq. (READ-ONLY). FPS = F/timerA/timerB.|时序发生器频率（只读）。帧率 = F/定时器A/定时器B。
Tip: if it gets really dark, also enable FPS override.|提示：画面很暗时可同时启用帧率覆盖。
Tip: in photo mode, it makes LiveView usable in darkness.|提示：在照片模式中，可让实时取景在黑暗中可用。
Tip: set this to -1 for a nice vignette effect.|提示：设为 -1 可获得不错的暗角效果。
To change this setting: Prefs -> Config options|要更改此设置：偏好设置 -> 配置选项
To start ramping, press INFO or just start recording.|按 INFO 或直接开始录像即可启动渐变。
Tone Frequency|音调频率
Tone Waveform|音调波形
Translation pat|翻译补丁
Translation patch.|翻译补丁。
Trigger key(s)|触发按键
Type of waveform to be generated: square, sine, white noise.|生成的波形类型：方波、正弦波或白噪声。
Update the overlay whenever you take a picture.|每次拍摄后更新叠加图像。
Use smooth exposure transitions, by compensating with ISO.|通过 ISO 补偿实现平滑曝光过渡。
Useful for long exposures, manual lenses, manual video ctl.|适用于长曝光、手动镜头和手动视频控制。
Vignetting correction or effects.|暗角校正或暗角效果。
Volume for ML beeps and WAV playback (1-5).|ML 蜂鸣和 WAV 播放音量（1–5）。
Warn if some of your settings are changed by mistake.|部分设置被意外更改时发出警告。
Warn if you change the picture quality to something else.|画质被改为其他设置时发出警告。
Warn if you disable AWB by mistake.|意外关闭自动白平衡时发出警告。
Warn if you enable ALO by mistake.|意外开启自动亮度优化时发出警告。
Warn if you turn the mode dial to some other position.|模式转盘被转到其他位置时发出警告。
Warn on Manual / Automatic Focus|手动/自动对焦警告
Warn type, LED, Messagebox, Beep|警告方式：LED、消息框、蜂鸣
When you change Av, ML adjusts Tv and ISO to keep exposure.|更改 Av 时，ML 调整 Tv 和 ISO 以保持曝光。
When you change ISO, ML adjusts Tv and Av to keep exposure.|更改 ISO 时，ML 调整 Tv 和 Av 以保持曝光。
When you change Tv, ML adjusts Av and ISO to keep exposure.|更改 Tv 时，ML 调整 Av 和 ISO 以保持曝光。
When you exit ML menu, or at camera startup.|退出 ML 菜单或相机启动时。
When you set "ImageReview: Hold", it will go to Play mode.|将“图像回放”设为“保持”时，将进入回放模式。
WhenIdle|空闲时
With current settings, motion detect only works in LiveView.|当前设置下，运动检测仅在实时取景中有效。
YUV-based, Luma|基于 YUV，亮度
YUV-based, RGB|基于 YUV，RGB
You can draw your own cropmarks in Paint.|可以使用绘图软件制作自己的裁切标记。
You can fine-tune this, but don't expect miracles.|可以微调，但不要期待奇迹。
You can use a different picture style when recording.|录像时可使用不同的照片风格。
You may get around 100000.|可能获得约 100000。
You may use the LiveView button to protect or rate images.|可使用实时取景按钮保护图像或评分。
Your lens does not report focus distance.|镜头未报告对焦距离。
Zero / Very low / Low / Normal / High / Very high / Auto.|零 / 很低 / 低 / 普通 / 高 / 很高 / 自动。
Zoom when recording / trigger from focus ring / Zoom button|录像时放大 / 对焦环触发 / 放大按钮
Zoom.REC / Focus+ZREC / ZoomIn (+) / Always On.|录像变焦 / 对焦＋录像变焦 / 放大（＋）/ 始终开启。
[GLOBAL] If you hold the SET button pressed at camera startup:|[全局] 相机启动时按住 SET 按钮：
[PHOTO] Set picture quality to RAW in Canon menu.|[照片] 请在佳能菜单中将画质设为 RAW。
[Q]: fix here rack end point. SET+L/R: start point.|[Q]：在此设定焦点移动终点。SET＋左/右：设定起点。
custom modes|自定义模式
ft/in|英尺/英寸
other than AF|非自动对焦时
other than AWB|非自动白平衡时
other than Av|非 Av 时
other than M|非 M 时
other than MF|非手动对焦时
other than OFF|非关闭时
other than P|非 P 时
other than RAW|非 RAW 时
other than Tv|非 Tv 时
other than fine|非精细画质时
popup only|仅弹窗
popup, beep|弹窗、蜂鸣
popup, rep. beep|弹窗、重复蜂鸣
rep. popup|重复弹窗
(empty)|（空）
... like this :)|…像这样
2-second delay|2 秒延时
30-minute timer|30 分钟定时器
3rd p. flash LV|第三方闪光灯实时取景
AF/MF|自动/手动对焦
AGC|自动增益控制
ALO/HTP|自动亮度优化/高光色调优先
AUTOEXEC.BIN|AUTOEXEC.BIN
AV curve|光圈曲线
AV range|光圈范围
Adjust Aperture|调整光圈
Adjust ISO|调整 ISO
Adjust Shutter|调整快门
AllocateMemory|分配内存
Allocated RAM|已分配内存
Allow beeps|允许蜂鸣
Allow clipping|允许溢出
Analog gain|模拟增益
Aperture |光圈 
Arkanoid|打砖块
Arrow/SET shortcuts|方向键/SET 快捷键
Aspect ratio|画面比例
Audio delay|音频延时
Auto ETTR|自动向右曝光
Auto adjust Kelvin|自动调整色温
Autorun|自动运行
Av  -> |Av  -> 
Battery|电池
Bitmap|位图
Browse|浏览
BuffWarnLevel|缓冲区警告级别
Build|构建版本
Bulb Duration|B 门时长
Card warm-up|存储卡预热
Clear Keyframes|清除关键帧
Clock|时钟
Copy rack focus range|复制焦点移动范围
Copyright|版权
Create Keyframe|创建关键帧
Custom file prefix|自定义文件前缀
DC filter|直流滤波器
Data format|数据格式
Date|日期
Deflicker percentile|去闪烁百分位
Deflicker target level|去闪烁目标亮度
Digital Gain|数字增益
Digital dolly|数字移动拍摄
Dim display|调暗显示屏
Disp preset|显示预设
Dynamic range gained|动态范围增益
EC|曝光补偿
EC curve|曝光补偿曲线
EC range|曝光补偿范围
EV increment|EV 增量
EV indic|EV 指示
Edit Script|编辑脚本
Enable sound|启用声音
Enable while recording|录像时启用
Enabled|已启用
Every other frame|每隔一帧
ExpSim|曝光模拟
Exposure Compensation|曝光补偿
Exposure target|曝光目标
External Source|外部信号源
FPS|帧率
File Format|文件格式
File name|文件名
Flash / No flash|闪光 / 不闪光
Focus Patterns|对焦点模式
Focus dist|对焦距离
Free space|可用空间
GB|GB
H.264 proxy|H.264 代理视频
HDR|HDR
HPF2 Cutoff Hz|二阶高通截止频率
Handheld Delay|手持延时
Handheld Shutter|手持快门
Headphone Mon.|耳机监听
Headphone Volume|耳机音量
High Pass filter|高通滤波器
Highlight ignore|忽略高光
HistoBar|直方条
IS|防抖
ISO |ISO 
ISO curve|ISO 曲线
ISO range|ISO 范围
ISO val|ISO 值
ISO/Kelvin|ISO/色温
ISO|ISO
ISO A|ISO A
ISO B|ISO B
Image file naming|图像文件命名
Image file number|图像文件编号
Image file prefix|图像文件前缀
Image folder number|图像文件夹编号
Interval Time|间隔时间
Kelvin|色温
Keyframe Time|关键帧时间
LCD Bright/Saturation|LCD 亮度/饱和度
LV Display|实时取景显示
Left Digital Gain|左声道数字增益
Left Digital Gain |左声道数字增益 
Left/Right dir|左右键方向
Lens|镜头
Lens aperture|镜头光圈
Link to Canon shutter|关联佳能快门
Link to Dual ISO|关联双 ISO
List Keyframes|列出关键帧
Loop After|循环起点
ML Digital ISO|ML 数字 ISO
MLU|反光镜预升
MLU mode|反光镜预升模式
MVI number|视频文件编号
Method|方式
Mic Boost|麦克风增强
Midtone SNR limit|中间调信噪比限制
Midtone overlapping|中间调重叠
Module|模块
Module info|模块信息
NO LENS NAME|无镜头名称
New Keyframe...|新建关键帧…
Normal MLU Delay|普通反光镜预升延时
Num. pics behind|后方拍摄张数
Num. pics in front|前方拍摄张数
Overexposure|过曝
Override audio settings|覆盖音频设置
Palette|调色板
Pic Quality|照片画质
Pic.Style|照片风格
Pics|照片数
Playback|回放
Post scripts|后处理脚本
Pre-record|预录
Press |按 
Preview|预览
QScale|QScale
RAW video|RAW 视频
REC-PicStyle|录像照片风格
Ramping options|渐变选项
Raw zebra underexposure|RAW 斑马纹欠曝
Rec trigger|录像触发方式
Rec. Status|录像状态
Record|录制
Record Digital Volume |录音数字音量 
Record Effect Mode|录音效果模式
Recovery ISO|恢复 ISO
Resolution|分辨率
Right Digital Gain|右声道数字增益
RscMgr|资源管理器
Run Script|运行脚本
SET / |SET / 
SRM job total|SRM 作业总内存
Same TV curve|相同快门曲线
Sampling rate|采样率
Save Keyframes|保存关键帧
Sec|秒
Sequence|顺序
Shadow SNR limit|阴影信噪比限制
Shortcut keys|快捷键
Show EDMAC|显示 EDMAC
Show debug info|显示调试信息
Show graph|显示图表
Show hidden modules|显示隐藏模块
Show metered areas|显示测光区域
Shutter |快门 
Shutter/Aperture|快门/光圈
Sidecar file type|辅助文件类型
Silent Mode|静音模式
Silent Picture|静音拍摄
Slit-Scan Mode|狭缝扫描模式
Slowest shutter|最慢快门
Small hacks|小型调整
Snap points|吸附点
Sound recording|声音录制
Space|空间
Sticky DOF Preview|保持景深预览
Sticky HalfShutter|保持半按快门
Sync beep|同步蜂鸣
TV minimum|最低快门
Task list|任务列表
Temp|温度
Temperature|温度
Time|时间
Time indicator|时间指示
Trace output|跟踪输出
Trigger Mode|触发模式
Trigger level (dB)|触发阈值（dB）
Turn off GlobalDraw|关闭全局叠加显示
Turn off LCD|关闭 LCD
Tv  -> |Tv  -> 
UV scaling|UV 缩放
Underexposure|欠曝
Up/Down dir|上下键方向
Use Global Time|使用全局时间
Use RAW zebras|使用 RAW 斑马纹
Use SRM memory|使用 SRM 内存
Use in LV|在实时取景中使用
Use shortcut key|使用快捷键
WBShift B/A|白平衡偏移 蓝/琥珀
WBShift G/M|白平衡偏移 绿/洋红
Waveform Size|波形图大小
When recording|录像时
Zoom In|放大
Zoom x1|1 倍变焦
Zoom x10|10 倍变焦
Zoom x5|5 倍变焦
aperture|光圈
binary string|二进制字符串
dist|距离
focal|焦距
malloc|内存分配
menu_icons|菜单图标
mode|模式
shoot contig|拍摄连续内存
shoot total|拍摄总内存
shoot_malloc|拍摄内存分配
shutter|快门
srm_malloc|SRM 内存分配
stack space|栈空间
time min|分钟
+16px|+16 像素
+8px|+8 像素
-16px|-16 像素
-8px|-8 像素
0 (Grayscale)|0（灰度）
0 EV|0 EV
0 dB|0 dB
1 EV|1 EV
1 kHz|1 kHz
10 dB|10 dB
10min|10 分钟
110 Hz (A2)|110 Hz（A2）
12 kHz|12 kHz
15s|15 秒
1760 Hz (A6)|1760 Hz（A6）
1min|1 分钟
1s|1 秒
1x, 3x|1x、3x
2 EV|2 EV
2 kHz|2 kHz
20 dB|20 dB
20min|20 分钟
220 Hz (A3)|220 Hz（A3）
262 Hz (Do)|262 Hz（中央 C）
294 Hz (Re)|294 Hz（D）
2min|2 分钟
2s|2 秒
2x|2x
3 EV|3 EV
3 dB|3 dB
30min|30 分钟
30s|30 秒
330 Hz (Mi)|330 Hz（E）
349 Hz (Fa)|349 Hz（F）
3520 Hz (A7)|3520 Hz（A7）
392 Hz (Sol)|392 Hz（G）
3x...10x|3x…10x
4 EV|4 EV
440 Hz (La-A4)|440 Hz（A4）
494 Hz (Si)|494 Hz（B）
4x|4x
5 kHz|5 kHz
55 Hz (A1)|55 Hz（A1）
5min|5 分钟
5s|5 秒
6 dB|6 dB
880 Hz (A5)|880 Hz（A5）
Allow|允许
Auto int/ext|自动内部/外部
Auto-Hide|自动隐藏
Balanced (N/A)|均衡（不可用）
Beep, start/stop|蜂鸣，开始/停止
CBR|恒定码率
Center (OFF)|中央（关闭）
Center + 8 pts|中央＋8 点
Center/T/R/B/L|中央/上/右/下/左
Center/TL/TR/BR/BL|中央/左上/右上/右下/左下
Center/Top/Right|中央/上/右
Check|检查
Continuous|连续
Disable|禁用
Don't allow|不允许
Elapsed|已录时间
External stereo|外部立体声
Fast|快速
Focus Ring|对焦环
HalfShutter|半按快门
Hide|隐藏
High FPS|高帧率
High Jello|强果冻效应
Hold AF button|按住自动对焦按钮
Internal mic|内置麦克风
L/R & Set+Dial|左/右＋SET＋拨盘
L:int R:balanced|左：内置，右：均衡
L:int R:ext|左：内置，右：外部
Left/Right|左/右
Luma|亮度
Luma Fast|快速亮度
Mirror|镜像
Mode 1|模式 1
Mode 2|模式 2
Mode 3|模式 3
Neutral|中性
Normal (OFF)|普通（关闭）
OFF (1)|关闭（1）
Off|关闭
On|开启
Override|覆盖
Panini|Panini 投影
Percentage|百分比
Photo only|仅照片
Press PLAY|按回放键
RAW (EV)|RAW（EV）
REC/STBY|录像/待机
RGB|RGB
RGB (HTML)|RGB（HTML）
Raw|RAW
Red Crossout|红色叉号
Remain.4GB|4GB 剩余
Remain.Card|存储卡剩余
Reverse|反向
SS ZeroCross|快门速度过零
Show|显示
Sine|正弦波
Take a pic|拍摄一张
Toggle|切换
UserDef1|用户定义 1
UserDef2|用户定义 2
UserDef3|用户定义 3
VBR|可变码率
VBR (QScale)|可变码率（QScale）
White Noise|白噪声
Zoom.REC|录像变焦
ZoomIn (+)|放大（＋）
disable|禁用
normal|普通
reverse|反向
x++|x++
Adjust and fine-tune ISO. Also displays APEX Sv value.|调整并微调 ISO，同时显示 APEX Sv 值。
Adjust aperture. Also displays APEX aperture (Av) in stops.|调整光圈，同时以档数显示 APEX 光圈值（Av）。
Advanced intervalometer ramping options.|高级间隔拍摄渐变选项。
Allocate memory from SRM job buffers (normally used for still capture).|从 SRM 作业缓冲区分配内存（通常用于照片拍摄）。
Also use ISO as bracket variable. Range: 100 - max AutoISO.|同时将 ISO 作为包围变量，范围 100 至自动 ISO 上限。
Alternate ISO for every 2 sensor scan lines.|每两条传感器扫描线交替一次 ISO。
Amount of jello effect. Multiply "|果冻效应程度。乘以“
Analog ISO component (ISO at which the sensor is driven).|模拟 ISO 分量（传感器实际驱动 ISO）。
Analog mic boost.|麦克风模拟增益。
At what shutter speeds you want to use handheld MLU.|使用手持反光镜预升的快门速度范围。
Audio input: internal / external / both / auto.|音频输入：内置 / 外部 / 两者 / 自动。
Auto compensate minimum ISO & minimum AV & EC changes.|自动补偿最低 ISO、最小光圈和曝光补偿变化。
Auto expose to the right when you shoot RAW.|拍摄 RAW 时自动向右曝光。
Automatic Gain Control - turn it off :)|自动增益控制——建议关闭。
Automatic exposure algorithm based on predefined curves.|基于预设曲线的自动曝光算法。
Beeps on recording start for better sync.|录像开始时蜂鸣，以便后期同步。
Bracketing sequence order / type. Zero is always first.|包围拍摄的顺序和类型；零值始终先拍。
Canon's digital ISO component. Strongly recommended: 0.|佳能数字 ISO 分量，强烈建议设为 0。
Change file prefix for dual ISO photos (e.g. DUAL0001.CR2).|更改双 ISO 照片的文件前缀，例如 DUAL0001.CR2。
Changes duration of the bulb timer|更改 B 门定时器时长
Changes the Kelvin white balance|更改色温白平衡
Changes the interval between shots|更改拍摄间隔
Choose functions for arrows keys. Toggle w. |选择方向键功能。切换方式：
Choose mode :Notch,EQ,Notch/EQ,Enhance [12],Loudness.|选择模式：陷波、均衡、陷波/均衡、增强、响度。
Choose patterns outside ML menu, display OFF, arrows+SET.|在 ML 菜单外且显示关闭时，用方向键＋SET 选择对焦点模式。
Choose slitscan mode:|选择狭缝扫描模式：
Choose the output format (bit depth, compression) for the raw stream:|选择 RAW 数据流的输出格式（位深、压缩）：
Choose the silent picture mode:|选择静音拍摄模式：
Choose the variables to bracket:|选择包围拍摄变量：
Choose what color channels are allowed to be clipped.|选择允许溢出的色彩通道。
Choose when mirror lock-up should be active:|选择反光镜预升的启用时机：
Choose when to capture the image:|选择图像捕获时机：
Clap your hands or pop a balloon to take a picture.|拍手或戳破气球即可拍照。
Clears all keyframes.|清除所有关键帧。
Color scheme for bitmap overlays (ML menus, Canon menus...)|位图叠加层的配色方案（ML 菜单、佳能菜单等）。
Create a new keyframe from the current camera settings|根据当前相机设置创建新关键帧
Create sidecar files with exposure compensation,|创建包含曝光补偿信息的辅助文件，
Custom AF patterns (photo mode only). Ported from 400plus.|自定义自动对焦点模式（仅照片模式），移植自 400plus。
Custom image file number (e.g. IMG_1234.JPG -> IMG_5678.JPG).|自定义图像文件编号，例如 IMG_1234.JPG -> IMG_5678.JPG。
Custom image file prefix (e.g. IMG_1234.JPG -> ABCD1234.JPG).|自定义图像文件前缀，例如 IMG_1234.JPG -> ABCD1234.JPG。
Custom image folder num. You must take a picture to apply this setting.|自定义图像文件夹编号；必须拍摄一张照片才能应用。
Customize image file naming for still pictures. Experimental.|自定义照片文件命名，实验性功能。
Delay before starting the exposure.|开始曝光前的延时。
Delay between mirror and shutter movement.|反光镜动作与快门动作之间的延时。
Delay between two successive focus commands.|两次连续对焦命令之间的延时。
Delay the audio that many frames. (experimental)|将音频延迟指定帧数（实验性）。
Digital Volume and R-L gain|数字音量和左右声道增益
Digital gain (LEFT). Any nonzero value reduces quality.|左声道数字增益；任何非零值都会降低质量。
Digital gain (RIGHT). Any nonzero value reduces quality.|右声道数字增益；任何非零值都会降低质量。
Dim LCD display in LiveView when idle, to save power.|实时取景空闲时调暗 LCD 以节省电量。
Disable x10 zoom in LiveView.|禁用实时取景 10 倍变焦。
Disable x5 or x10, boost contrast/sharpness...|禁用 5 倍或 10 倍变焦、增强反差和锐度等。
Disable x5 zoom in LiveView.|禁用实时取景 5 倍变焦。
Display + LiveView orientation: Normal / Reverse / Mirror.|显示屏及实时取景方向：普通 / 反向 / 镜像。
Display DOF above Focus distance, in LiveView.|在实时取景的对焦距离上方显示景深。
Display LiveView image in grayscale.|以灰度显示实时取景图像。
Displays a graph of the current buffer usage and expected frames.|显示当前缓冲区占用和预计可录帧数图表。
Either use a key combination and/or just an easier single keystroke.|可使用组合键，也可使用更简便的单键。
Enable advanced intervalometer ramping|启用高级间隔拍摄渐变
Enable zoom when you hold the shutter halfway pressed.|持续半按快门时启用变焦。
Enables functions for SET when you use arrow shortcuts.|使用方向键快捷方式时启用 SET 键功能。
Exposure compensation.|曝光补偿。
Exposure difference between two frames.|两帧之间的曝光差。
Exposure target for ETTR. Recommended: -0.5 or -1 EV.|向右曝光的目标值，推荐 -0.5 或 -1 EV。
File format to save the image as:|图像保存格式：
Focus direction for Left and Right keys.|左右键对应的对焦方向。
Focus direction for Up and Down keys.|上下键对应的对焦方向。
Focus with arrow keys. MENU while REC = save focus point.|使用方向键对焦；录像时按 MENU 保存焦点。
For camera nerds.|供相机技术爱好者使用。
For intervalometer, audio remote shot and motion detect.|用于间隔拍摄、声音遥控拍摄和运动检测。
For very long exposures (several minutes).|适用于数分钟的超长曝光。
Free memory available as stack space for user tasks.|可作为用户任务栈空间使用的空闲内存。
Free memory from SRM_AllocateMemoryResourceFor1stJob.|由 SRM_AllocateMemoryResourceFor1stJob 提供的空闲内存。
Frequency for ML beep and test tones (Hz).|ML 蜂鸣和测试音的频率（Hz）。
Gain applied to both inputs in analog domain.|在模拟域同时应用于两个输入的增益。
Hack to adjust slowest shutter from main dial.|用主拨盘调整最慢快门的功能。
High pass filter for wind noise reduction.|用于降低风噪的高通滤波器。
High pass filter for wind noise reduction. ML26121A.pdf p77|用于降低风噪的高通滤波器，参见 ML26121A.pdf 第 77 页。
How many bright pixels are allowed above the target level.|允许超过目标亮度的高光像素数量。
ISO equivalent (analog + digital components).|等效 ISO（模拟分量＋数字分量）。
ISO for half of the scanlines (usually to recover shadows).|一半扫描线使用的 ISO，通常用于恢复阴影。
If modules have .hid files, show them anyway. Requires restart.|即使模块有 .hid 文件也显示；需要重启。
Include current Aperture in Keyframe|在关键帧中包含当前光圈
Include current ISO in Keyframe|在关键帧中包含当前 ISO
Include current Shutter in Keyframe|在关键帧中包含当前快门
Increase sharpness and contrast when you zoom in LiveView.|实时取景放大时增强锐度和反差。
LEFT/RIGHT: ISO. UP/DN: Kelvin white balance. SET: PushWB.|左/右：ISO；上/下：色温；SET：快捷白平衡。
LEFT/RIGHT: LCD bright. UP/DN: LCD saturation. SET: reset.|左/右：LCD 亮度；上/下：LCD 饱和度；SET：重置。
LEFT/RIGHT: Shutter. UP/DN: Aperture.  SET: 180d shutter.|左/右：快门；上/下：光圈；SET：180 度快门。
LEFT/RIGHT: input gain. UP/DOWN: output gain. SET: Input.|左/右：输入增益；上/下：输出增益；SET：输入源。
Largest contiguous block from shoot memory.|拍摄内存中最大的连续内存块。
Largest fragmented block from shoot memory.|拍摄内存中最大的非连续内存块。
Let ETTR change DualISO settings so you get the SNR values|允许向右曝光更改双 ISO 设置以获得信噪比数值
Lists all keyframes|列出所有关键帧
Load this script in the text editor (EDITOR.LUA).|在文本编辑器（EDITOR.LUA）中打开此脚本。
Lock shutter value in movie mode (change from Expo only).|锁定视频模式快门值（只能从曝光菜单更改）。
Loops keyframe sequence after x frames|指定帧数后循环关键帧序列
Luma: red/blue. RGB: show color of the clipped channel(s).|亮度：红/蓝；RGB：显示溢出通道的颜色。
ML will pause CPU-intensive graphics if buffer gets full.|缓冲区将满时，ML 会暂停占用 CPU 较高的图形功能。
MLU delay used with intervalometer, bracketing etc.|间隔拍摄、包围拍摄等使用的反光镜预升延时。
MLU tricks: hand-held or self-timer modes.|反光镜预升技巧：手持或自拍模式。
Main dial changes curve offset. Left & right sets EV steps per BV.|主拨盘更改曲线偏移；左右键设置每 BV 的 EV 步长。
Make status beeps (1 = OK, 2 = need more pictures, 3 = error).|状态蜂鸣：1 声=完成，2 声=需要更多照片，3 声=错误。
Makes the DOF preview button sticky (press to toggle).|使景深预览按钮保持状态（按下切换）。
Makes the half-shutter button sticky (press to toggle).|使半按快门保持状态（按下切换）。
Memory reserved statically at startup for ML binary.|启动时为 ML 程序静态保留的内存。
Monitoring via A-V jack. Disable if you use a SD display.|通过 A/V 接口监听；使用标清显示器时请关闭。
Move the focus box faster (in LiveView).|在实时取景中更快移动对焦框。
Num. of LV display presets. Switch with |实时取景显示预设数量。切换键：
Number of bracketed shots. Can be computed automatically.|包围拍摄张数，可自动计算。
Number of focus steps between two pictures.|两张照片之间的对焦步数。
Number of seconds before starting focus operation.|开始对焦操作前等待的秒数。
Number of shots behind current focus point.|当前焦点后方的拍摄张数。
Number of shots in front of current focus point.|当前焦点前方的拍摄张数。
Options for reducing power consumption during idle times.|空闲时降低功耗的选项。
Output volume for audio monitoring (headphones only).|音频监听输出音量（仅耳机）。
Overexposure threshold.|过曝阈值。
Override audio setting by ML|由 ML 覆盖音频设置
Picture taken when sound level becomes X dB above average.|声音高于平均值 X dB 时拍摄。
Play a 5-second test tone with current settings.|用当前设置播放 5 秒测试音。
Play a short beep which will be used for ML events.|播放 ML 事件所使用的短蜂鸣声。
Play back the last raw video clip.|回放最近一段 RAW 视频。
Plots the EDMAC read/write pointers within the source raw buffer.|绘制源 RAW 缓冲区内的 EDMAC 读写指针。
Post-processing scripts for bracketing and focus stacking.|用于包围拍摄和焦点堆栈的后处理脚本。
Powersave always works during standby; optionally also while recording.|待机时始终节电，也可选择在录像时节电。
Pre-records a few seconds of video into memory, discarding old frames.|将数秒视频预录到内存，并不断丢弃旧帧。
Press SET for rack focus, or PLAY to also start recording.|按 SET 执行焦点移动；按回放键则同时开始录像。
Press SET to load/run this script.|按 SET 加载或运行此脚本。
Prevent Canon firmware from turning off LiveView after 30 minutes.|防止佳能固件在 30 分钟后关闭实时取景。
Prevents display mirroring, which may reverse ML texts.|防止显示镜像，以免 ML 文字反转。
RAW zebra underexposure threshold|RAW 斑马纹欠曝阈值
